employee_id,department,job_level,location,hire_date,tenure_months,performance_rating,manager_id,status,is_active,exit_date,base_salary,band_min,band_mid,band_max,market_benchmark_salary,comp_to_market_ratio,band_penetration,last_merit_increase_pct,months_since_last_raise,attrition_flag,benchmark_imputed,salary_imputed,performance_imputed,salary_corrected
DF-100255,Support,L5 - Manager,Munich,2025-04-03,9,3.0,DF-100676,Terminated,False,2025-08-22,92635.0,92635.0,112970.0,133304.0,115171.0,0.8043,0.0,3.36,6,1,False,False,False,False
DF-100023,Product,L4 - Lead,Hamburg,2023-12-03,25,2.0,DF-100030,Active,True,,144220.0,109667.0,133741.0,157814.0,137811.0,1.0465,0.7177,3.72,5,0,False,False,False,False
DF-100189,Sales,L2 - Mid,Hamburg,2022-12-04,37,3.0,DF-100673,Active,True,,76047.0,60017.0,73191.0,86366.0,73191.0,1.039,0.6084,4.01,18,0,True,False,False,False
DF-100047,Engineering,L1 - Junior,Berlin,2018-06-06,91,3.0,DF-100188,Active,True,,55451.0,48860.0,59586.0,70311.0,59586.0,0.9306,0.3073,6.87,8,0,True,False,True,False
DF-100293,Sales,L2 - Mid,Remote-DE,2019-03-07,82,1.0,DF-100034,Active,True,,86798.0,58532.0,71380.0,84229.0,76386.0,1.1363,1.1,0.51,4,0,False,False,False,False
DF-100587,Support,L3 - Senior,Berlin,2023-11-03,26,3.0,DF-100054,Active,True,,71943.0,58563.0,71418.0,84273.0,66407.0,1.0834,0.5204,6.92,7,0,False,False,False,False
DF-100555,Sales,L3 - Senior,Hamburg,2025-01-02,12,4.0,DF-100235,Active,True,,103813.0,79938.0,97485.0,115032.0,102393.0,1.0139,0.6803,1.54,5,0,False,False,False,False
DF-100453,Customer Success,L6 - Director,Hamburg,2021-11-03,50,2.0,DF-100617,Active,True,,164541.0,133844.0,163224.0,192604.0,138944.0,1.1842,0.5224,5.45,10,0,False,False,False,False
DF-100617,Customer Success,L4 - Lead,Remote-DE,2025-04-03,9,4.0,DF-100178,Terminated,False,2025-11-03,97965.0,85447.0,104203.0,122960.0,96881.0,1.0112,0.3337,7.16,4,1,False,False,False,False
DF-100543,Support,L2 - Mid,Munich,2021-11-03,50,3.0,DF-100246,Active,True,,58371.0,44441.0,54196.0,63952.0,55127.0,1.0588,0.714,5.53,5,0,False,False,False,False
